,Unnamed: 0,Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP,GDP Growth_num,GDP per capita_num,Share of World GDP_num
121,121,Jamaica,19423355409.0,19.423 billion,2.2%,2839786,"$6,840",0.018%,0.022000000000000002,6840.0,0.018
122,122,Botswana,19396084498.0,19.396 billion,2.73%,2480244,"$7,820",0.018%,0.0273,7820.0,0.018
123,123,Gabon,19388402542.0,19.388 billion,2.45%,2484789,"$7,803",0.018%,0.0245,7803.0,0.018
124,124,Nicaragua,17829218219.0,17.829 billion,4.57%,6823613,"$2,613",0.017%,0.045700000000000005,2613.0,0.017
125,125,State of Palestine,17420800000.0,17.421 billion,−5.41%,5409202,"$3,221",0.016%,-0.0541,3221.0,0.016
126,126,Afghanistan,17233051620.0,17.233 billion,2.71%,41454761,$416,0.016%,0.0271,416.0,0.016
127,127,Guyana,17159509565.0,17.16 billion,33.8%,826353,"$20,765",0.016%,0.33799999999999997,20765.0,0.016
128,128,Niger,16819170421.0,16.819 billion,2.5%,26159867,$643,0.016%,0.025,643.0,0.016
129,129,Moldova,16539436547.0,16.539 billion,0.78%,3067070,"$5,393",0.016%,0.0078000000000000005,5393.0,0.016
130,130,Laos,15843155731.0,15.843 billion,3.75%,7664993,"$2,067",0.015%,0.0375,2067.0,0.015
131,131,Madagascar,15790113247.0,15.79 billion,3.8%,31195932,$506,0.015%,0.038,506.0,0.015
132,132,North Macedonia,15763621848.0,15.764 billion,2.07%,1831802,"$8,606",0.015%,0.0207,8606.0,0.015
133,133,Congo,15321055823.0,15.321 billion,1.91%,6182885,"$2,478",0.014%,0.0191,2478.0,0.014
134,134,Brunei,15128292981.0,15.128 billion,1.41%,458949,"$32,963",0.014%,0.0141,32963.0,0.014
135,135,Mauritius,14644524819.0,14.645 billion,6.96%,1273588,"$11,499",0.014%,0.0696,11499.0,0.014
136,136,Bahamas,14338500000.0,14.338 billion,2.64%,399440,"$35,897",0.014%,0.0264,35897.0,0.014
137,137,Rwanda,14097768472.0,14.098 billion,8.24%,13954471,"$1,010",0.013%,0.0824,1010.0,0.013
138,138,Kyrgyzstan,13987627909.0,13.988 billion,6.15%,7073516,"$1,977",0.013%,0.061500000000000006,1977.0,0.013
139,139,Chad,13149325362.0,13.149 billion,4.12%,19319064,$681,0.012%,0.0412,681.0,0.012
140,140,Malawi,12712150082.0,12.712 billion,1.89%,21104482,$602,0.012%,0.0189,602.0,0.012
141,141,Namibia,12351025067.0,12.351 billion,4.16%,2963095,"$4,168",0.012%,0.0416,4168.0,0.012
142,142,Equatorial Guinea,12337550584.0,12.338 billion,−5.09%,1847549,"$6,678",0.012%,-0.0509,6678.0,0.012
143,143,Tajikistan,12060602009.0,12.061 billion,8.3%,10389799,"$1,161",0.011%,0.083,1161.0,0.011
144,144,Mauritania,10651709411.0,10.652 billion,6.51%,5022441,"$2,121",0.010%,0.06509999999999999,2121.0,0.01
145,145,Togo,9171261838.0,9.171 billion,6.41%,9304337,$986,0.0086%,0.0641,986.0,0.0086
146,146,Montenegro,7530593375.0,7.531 billion,6.34%,633552,"$11,886",0.0071%,0.0634,11886.0,0.0071
147,147,Barbados,6720733200.0,6.721 billion,4.09%,282336,"$23,804",0.0063%,0.0409,23804.0,0.0063
148,148,Maldives,6590894302.0,6.591 billion,4.73%,525994,"$12,530",0.0062%,0.0473,12530.0,0.0062
149,149,Sierra Leone,6411869546.0,6.412 billion,5.71%,8460512,$758,0.0060%,0.0571,758.0,0.006
150,150,Fiji,5442046565.0,5.442 billion,7.52%,924145,"$5,889",0.0051%,0.07519999999999999,5889.0,0.0051
151,151,Eswatini,4442875788.0,4.443 billion,5.01%,1230506,"$3,611",0.0042%,0.0501,3611.0,0.0042
152,152,Liberia,4240000000.0,4.24 billion,4.68%,5493031,$772,0.0040%,0.046799999999999994,772.0,0.004
153,153,Andorra,3785067332.0,3.785 billion,2.58%,80856,"$46,812",0.0036%,0.0258,46812.0,0.0036
154,154,Aruba,3648573136.0,3.649 billion,4.26%,107939,"$33,802",0.0034%,0.0426,33802.0,0.0034
155,155,Suriname,3455146281.0,3.455 billion,2.54%,628886,"$5,494",0.0033%,0.0254,5494.0,0.0033
156,156,Belize,3066850000.0,3.067 billion,1.15%,411106,"$7,460",0.0029%,0.0115,7460.0,0.0029
157,157,Burundi,2642161669.0,2.642 billion,2.7%,13689450,$193,0.0025%,0.027000000000000003,193.0,0.0025
158,158,Central African Republic,2555492085.0,2.555 billion,0.87%,5152421,$496,0.0024%,0.0087,496.0,0.0024
159,159,Cabo Verde,2533819406.0,2.534 billion,5.48%,522331,"$4,851",0.0024%,0.0548,4851.0,0.0024
160,160,Saint Lucia,2430148148.0,2.43 billion,2.21%,179285,"$13,555",0.0023%,0.022099999999999998,13555.0,0.0023
161,161,Gambia,2396111022.0,2.396 billion,4.8%,2697845,$888,0.0023%,0.048,888.0,0.0023
162,162,Seychelles,2141450171.0,2.141 billion,3.16%,127951,"$16,736",0.0020%,0.0316,16736.0,0.002
163,163,Lesotho,2117962451.0,2.118 billion,1.83%,2311472,$916,0.0020%,0.0183,916.0,0.002
164,164,Timor-Leste,2079916900.0,2.08 billion,−18.12%,1384286,"$1,503",0.0020%,-0.1812,1503.0,0.002
165,165,Guinea-Bissau,2048348108.0,2.048 billion,5.2%,2153339,$951,0.0019%,0.052000000000000005,951.0,0.0019
166,166,Antigua and Barbuda,2033085185.0,2.033 billion,3.86%,93316,"$21,787",0.0019%,0.038599999999999995,21787.0,0.0019
167,167,Solomon Islands,1633319401.0,1.633 billion,3.08%,800005,"$2,042",0.0015%,0.0308,2042.0,0.0015
168,168,Comoros,1352380971.0,1.352 billion,3%,850387,"$1,590",0.0013%,0.03,1590.0,0.0013
169,169,Grenada,1316733333.0,1.317 billion,3.57%,117081,"$11,246",0.0012%,0.035699999999999996,11246.0,0.0012
170,170,Vanuatu,1126313359.0,1.126 billion,2.21%,320409,"$3,515",0.0011%,0.022099999999999998,3515.0,0.0011
171,171,St. Vincent & Grenadines,1065962963.0,1.066 billion,6.02%,101323,"$10,520",0.0010%,0.0602,10520.0,0.001
172,172,Saint Kitts & Nevis,1055499778.0,1.055 billion,2.28%,46758,"$22,574",0.00099%,0.022799999999999997,22574.0,0.00099
173,173,Samoa,938189444.0,938.189 million,8.58%,216663,"$4,330",0.00088%,0.0858,4330.0,0.00088
174,174,Sao Tome & Principe,678976265.0,678.976 million,0.37%,230871,"$2,941",0.00064%,0.0037,2941.0,0.00064
175,175,Dominica,653992593.0,653.993 million,4.71%,66510,"$9,833",0.00062%,0.0471,9833.0,0.00062
176,176,Micronesia,460000000.0,460 million,0.78%,112630,"$4,084",0.00043%,0.0078000000000000005,4084.0,0.00043
177,177,Palau,281849063.0,281.849 million,1.88%,17727,"$15,899",0.00027%,0.018799999999999997,15899.0,0.00027
178,178,Kiribati,279208903.0,279.209 million,4.12%,132530,"$2,107",0.00026%,0.0412,2107.0,0.00026
179,179,Marshall Islands,259300000.0,259.3 million,−3.93%,38827,"$6,678",0.00024%,-0.0393,6678.0,0.00024
180,180,Tuvalu,62280312.0,62.28 million,3.85%,9816,"$6,345",0.000059%,0.0385,6345.0,5.9e-05
